Nation Name,GDP per capita,IQ average,Gini Coefficient,Life expectancy,HDI,Unemployment rate,Public debt to GDP ratio,CPI,Rule of Law Index,Democracy Index,Dummy
Poland,0.7979274611,0.8497409326,0.8704663212,0.7564766839,0.8264248705,0.8626943005,0.5440414508,0.7823834197,0.7694300518,0.7227979275,0.7227979275
Portugal,0.829015544,0.7772020725,0.6269430052,0.8860103627,0.8031088083,0.5388601036,0.0725388601,0.8160621762,0.810880829,0.8601036269,0.8601036269
Qatar,0.8497409326,0.4404145078,0.1528497409,0.8911917098,0.9507772021,0.9948186528,0.5932642487,0.7512953368,0.6813471503,0.2953367876,0.2953367876
Republic of Korea,0.8549222798,0.9844559585,0.7901554404,0.9844559585,0.6010362694,0.8911917098,0.7823834197,0.829015544,0.8704663212,0.8860103627,0.8860103627
Republic of Moldova,0.5077720207,0.725388601,0.9533678756,0.3730569948,0.7512953368,0.8626943005,0.8704663212,0.3704663212,0.5440414508,0.5362694301,0.5362694301
Romania,0.689119171,0.6269430052,0.6321243523,0.6062176166,0.7590673575,0.5569948187,0.6321243523,0.6062176166,0.7487046632,0.5880829016,0.5880829016
Russian Federation,0.6424870466,0.8393782383,0.5544041451,0.481865285,0.1373056995,0.5958549223,0.9378238342,0.2098445596,0.2668393782,0.2227979275,0.2227979275
Rwanda,0.08808290155,0.2227979275,0.2435233161,0.2642487047,0.1373056995,0.1088082902,0.3549222798,0.6917098446,0.7487046632,0.2227979275,0.2227979275
Saint Kitts and Nevis,0.6632124352,0.2305699482,0.4740932642,0.3471502591,0.6373056995,0.4015544041,0.5077720207,0.8160621762,0.7487046632,0.7435233161,0.7435233161
Saint Lucia,0.5595854922,0.2538860104,0.08031088083,0.4559585492,0.5647668394,0.0414507772,0.3056994819,0.8419689119,0.7279792746,0.8005181347,0.8005181347
Saint Vincent and the Grenadines,0.3989637306,0.1191709845,0.3886010363,0.378238342,0.5751295337,0.0725388601,0.2694300518,0.829015544,0.7487046632,0.7901554404,0.7901554404
Samoa,0.4300518135,0.5569948187,0.432642487,0.4041450777,0.4663212435,0.1373056995,0.621761658,0.7331606218,0.7487046632,0.6088082902,0.6088082902
San Marino,0.274611399,0.8212435233,0.6373056995,0.9948186528,1,0.6580310881,0.1917098446,0.9378238342,0.9196891192,0.8497409326,0.8497409326
São Tomé and Príncipe,0.6269430052,0.1295336788,0.3549222798,0.3212435233,0.3186528497,0.1606217617,0.2538860104,0.5932642487,0.5829015544,0.5492227979,0.5492227979
Saudi Arabia,0.7461139896,0.3160621762,0.1658031088,0.7616580311,0.8419689119,0.5233160622,0.8652849741,0.6917098446,0.7772020725,0.09844559585,0.09844559585
Senegal,0.2020725389,0.3419689119,0.4611398964,0.2953367876,0.1295336788,0.8264248705,0.3886010363,0.5569948187,0.5829015544,0.4663212435,0.4663212435
Serbia,0.585492228,0.7202072539,0.6088082902,0.6528497409,0.6943005181,0.2823834197,0.5025906736,0.4378238342,0.3886010363,0.5544041451,0.5544041451
Seychelles,0.7720207254,0.3834196891,0.7409326425,0.4611398964,0.6761658031,0.7901554404,0.2279792746,0.878238342,0.6813471503,0.6321243523,0.6321243523
Sierra Leone,0.0621761658,0.01295336788,0.567357513,0.06735751295,0.0621761658,0.6994818653,0.4430051813,0.3316062176,0.2668393782,0.378238342,0.378238342
Singapore,0.9481865285,0.9948186528,0.2538860104,0.9585492228,0.9507772021,0.9559585492,0.04663212435,0.9766839378,0.8886010363,0.5440414508,0.5440414508
Slovakia,0.7772020725,0.8445595855,0.9896373057,0.7461139896,0.8186528497,0.5569948187,0.4715025907,0.6787564767,0.7875647668,0.7357512953,0.7357512953
Slovenia,0.8652849741,0.9015544041,0.9844559585,0.8341968912,0.8834196891,0.7124352332,0.2797927461,0.7823834197,0.8238341969,0.8316062176,0.8316062176
Solomon Islands,0.2331606218,0.5569948187,0.5207253886,0.3523316062,0.3082901554,0.1865284974,0.9637305699,0.5259067358,0.3575129534,0.4922279793,0.4922279793
Somalia,0.00518134715,0.1502590674,0.3989637306,0.0310880829,0.00518134715,0.05699481865,0.9792746114,0.01554404145,0.01295336788,0.02590673575,0.02590673575
South Africa,0.378238342,0.1917098446,0.0103626943,0.1813471503,0.4611398964,0,0.3212435233,0.5751295337,0.6269430052,0.7305699482,0.7305699482
South Sudan,0.05699481865,0.0621761658,0.2305699482,0.02590673575,0.0103626943,0.1658031088,0.4352331606,0.0103626943,0.1165803109,0.0414507772,0.0414507772
Spain,0.8082901554,0.7875647668,0.6165803109,0.9481865285,0.8704663212,0.2098445596,0.08808290155,0.8056994819,0.8471502591,0.8937823834,0.8937823834
Sri Lanka,0.3937823834,0.6165803109,0.4922279793,0.689119171,0.6424870466,0.6424870466,0.0829015544,0.4041450777,0.4766839378,0.5958549223,0.5958549223
Sudan,0.1010362694,0.3911917098,0.6528497409,0.1917098446,0.2590673575,0.0829015544,0.0207253886,0.03626943005,0.1165803109,0.1243523316,0.1243523316
